uf_novo;UF;energia_kcal;ptn;chotot;fibra;lip;colest;agsat;agmono;agpoli;agtrans;calcio;ferro;sodio;magnesio;fosforo;potassio;cobre;zinco;vita_rae;tiamina;riboflavina;niacina;piridoxamina;cobalamina;vitd;vite;vitc;folato;idade;anos_estudo;peso;altura;kcalkg;ptnkg;energia_suple;ptn_supl;kcalkg_suple;alt_m;imc;ptnkgsuple;energia_suple2;ptn_supl2;kcalkg_suple2;ptnkgsuple2;inadeq_ptn;inadeq_energ;inadptn_supl1;inadeqkcal_supl1;inadeqptn_supl2;inadeqkcal_supl2;regiao;TOTAL_CASOS;TARGET;PERCENTUAL
11;RO;2514,31;136,88;310,11;36,7;88,81;461,15;27,25;28,42;24,78;1,76;645,29;16,76;3667,79;438,74;1595,47;3440,04;2,1;18,55;415,48;1,3;1,38;22,59;0,75;6,84;2,04;10,46;83,02;611,99;69,81;2,69;69,33;167,09;37,87;2,04;2814,31;156,88;42,36;1,67;24,79;2,34;3114,31;176,88;46,86;2,64;13,79;27,59;5,17;20,69;5,17;17,24;1;3323;13;0,003912127595546
12;AC;2450,25;124,97;322,76;28,35;78,44;394,09;26,91;24,7;19,13;1,7;715,88;14,64;3236,68;391,69;1451,6;3251,42;1,85;17,5;435,22;1,14;1,37;24,79;0,91;7,45;2,81;9,42;128,29;493,42;69,91;3,09;69,65;165,84;36,01;1,85;2750,25;144,97;40,47;1,66;25,29;2,15;3050,25;164,97;44,93;2,44;18,18;32,73;9,09;27,27;3,64;12,73;1;1526;41;0,026867627785059
13;AM;2549,38;129,19;341,06;27,3;79,34;434,74;25,4;24,34;21,57;1,89;653,18;15,67;3291,11;358,66;1491,32;3105,48;2;13,9;643,18;1,31;1,56;22,91;1,08;11,28;4,09;8,05;132,29;508,63;70,05;2,89;66,54;163,8;39,92;2,04;2849,38;149,19;44,64;1,64;24,7;2,35;3149,38;169,19;49,36;2,67;10,95;24,09;2,19;17,52;0,73;10,95;1;11989;132;0,01101009258487
15;PA;2500,15;129,57;336,42;31,8;77,88;429,21;23,23;26,28;20,87;1,51;589,51;14,75;3015,48;390,41;1457,46;3202,94;1,82;16,11;320,41;1,01;1,1;21,87;0,71;8,7;3,49;18,73;146,14;448,88;70;3,35;67,83;162,91;38,95;2,02;2800,15;149,57;43,64;1,63;25,43;2,33;3100,15;169,57;48,33;2,65;13,08;27,1;2,8;20,56;0,93;10,28;1;26958;382;0,014170190666964
16;AP;2710,91;129,26;363,21;32,78;89,01;449,81;26,52;29,58;24,14;1,85;527,43;16,72;3547,42;381,21;1457,62;3158,34;2,4;18,18;949,95;1,2;1,45;24,65;0,94;8,79;2,34;15,93;101,16;526,62;70,03;2,31;71,97;165,42;39,18;1,86;3010,91;149,26;43,5;1,65;26,29;2,15;3310,91;169,26;47,82;2,44;5,56;25;2,78;11,11;2,78;5,56;1;5134;47;0,009154655239579
17;TO;2289,57;116,14;293,78;30,72;78,89;392,13;25,1;24,04;22,47;1,5;496,49;14,64;3249,86;383,47;1325,91;3013,16;2,35;18,49;547,55;0,92;1,3;18,24;0,61;7,81;2,29;7,72;186,83;516,21;70,54;5,64;63,57;160,36;37,41;1,91;2589,57;136,14;42,39;1,6;24,55;2,24;2889,57;156,14;47,36;2,58;12,77;32,98;4,26;14,89;1,06;8,51;1;9430;86;0,009119830328738
21;MA;2302,12;109,14;319,47;29,96;70,3;370,49;22,88;21,33;19,23;1,56;537,29;13;3205,58;362,57;1260,14;2719,36;2,06;15,01;273,4;1,09;1,2;18,15;0,75;6,7;3,2;7,38;128,15;463,55;69,42;4,29;67,18;163,98;35,96;1,71;2602,12;129,14;40,65;1,64;24,85;2,02;2902,12;149,14;45,35;2,33;23,26;38,76;10,85;26,36;4,65;15,5;2;6498;20;0,003077870113881
22;PI;2806,52;140,6;393,37;38,55;82,91;459,63;27,58;25,98;21,99;1,38;678,84;14,89;3712,91;440,55;1637,16;3454,22;2,97;18,3;1077,87;1,19;1,33;23,24;0,66;10,66;2,6;7,64;195,74;603,91;69,33;2,19;66,75;164,03;43,75;2,2;3106,52;160,6;48,44;1,64;24,7;2,51;3406,52;180,6;53,13;2,82;5,68;12,5;2,27;7,95;0;4,55;2;17327;100;0,005771339527904
23;CE;2357,08;111,34;333,29;28,41;70,46;397,75;22,47;22,41;18,62;1,74;577,98;14,28;3160,03;336,14;1324,25;2697,98;2,27;15,85;532,02;1,3;1,52;23,01;0,89;5,15;2,5;7,05;159,59;492,58;70,12;4,97;68,63;162,94;35,59;1,68;2657,08;131,34;40,15;1,63;25,77;1,98;2957,08;151,34;44,72;2,29;18,75;38,89;9,72;20,83;3,47;11,11;2;45068;446;0,009896156918434
24;RN;2458,63;112,47;347,5;34,7;73,15;496,24;23,46;23,32;18,94;1,61;615,06;15,9;3663,05;371,76;1434,02;3066,99;3,07;16,16;1495,13;1,26;1,63;22,1;0,87;9,63;2,73;7,91;180,05;644,15;68,29;8,04;67,71;163,39;38,22;1,72;2758,63;132,47;42,88;1,63;25,21;2,03;3058,63;152,47;47,54;2,34;15,15;30,3;9,09;23,23;1,01;14,14;2;63330;180;0,002842254855519
25;PB;2434,13;111,77;351,32;33,45;71,75;486,67;23,62;22,55;17,88;1,81;528,09;16,03;3720,13;345,85;1396,08;2882,38;2,57;14,97;1318,47;1,3;1,64;22,4;0,96;8,04;2,24;8,06;162,55;654,99;68,81;6,68;69,61;164,04;36,34;1,66;2734,13;131,77;40,81;1,64;25,84;1,96;3034,13;151,77;45,28;2,26;20,54;30,36;6,25;23,21;0,89;13,39;2;6834;9;0,001316944688323
26;PE;2355,34;114,41;330,47;31,21;69,85;440,75;23,57;22,04;16,08;1,92;615,49;14,96;3592,02;342,36;1407,46;2824,19;2,31;15,68;888,75;1,17;1,6;23,24;1;7,14;2,49;7,82;223,86;611,12;69,1;4,86;67,74;165,41;36,19;1,74;2655,34;134,41;40,82;1,65;24,69;2,05;2955,34;154,41;45,45;2,36;13,29;32,17;4,2;18,88;0,7;9,09;2;100708;624;0,006196131389761
